Make,Model,Price,Year,Kilometer,Transmission,Location,Color,Owner,Seller Type,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM,Drivetrain_FWD,Drivetrain_RWD,Fuel Type_CNG + CNG,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_LPG,Fuel Type_Petrol,Fuel Type_Petrol + LPG
Mahindra,XUV500 W9 [2018-2020],13.924365859736941,0.8823529411764706,10.978336380152186,Manual,Kolkata,Grey,1,Individual,2179.0,4585.0,1890.0,1785.0,7.0,70.0,153.0,3750.0,0.5957446808510638,1750.0,True,False,False,True,False,False,False,False,False
BMW,3-Series 320d Luxury Edition,15.330638010707329,0.9705882352941176,10.085850775128717,Automatic,Delhi,White,1,Individual,1995.0,4709.0,1827.0,1435.0,5.0,59.0,188.0,4000.0,0.7659574468085106,1750.0,False,True,False,True,False,False,False,False,False
Volkswagen,Polo Comfortline 1.2L (D),12.834683971615659,0.7058823529411765,11.264476926102367,Manual,Raipur,Grey,3,Individual,,,,,,,,,,,False,True,False,True,False,False,False,False,False
Tata,Safari 2.2 EX 4x2,13.26212705890841,0.7352941176470589,11.184435286790631,Manual,Ahmedabad,White,2,Individual,2179.0,4655.0,1965.0,1922.0,7.0,55.0,138.0,4000.0,0.425531914893617,1700.0,False,True,False,True,False,False,False,False,False
Maruti Suzuki,Celerio ZXi [2017-2019],12.876465396508989,0.8529411764705882,10.085850775128717,Manual,Patna,Silver,1,Individual,998.0,3600.0,1600.0,1560.0,5.0,35.0,67.0,6000.0,-0.5531914893617021,3500.0,True,False,False,False,False,False,False,True,False
Toyota,Urban Cruiser Premium Grade AT,13.864301674514206,0.9705882352941176,7.555381944240273,Automatic,Varanasi,White,1,Individual,1462.0,3995.0,1790.0,1640.0,5.0,48.0,103.0,6000.0,-0.34893617021276596,4400.0,True,False,False,False,False,False,False,True,False
Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],13.217675375388819,0.8823529411764706,10.933124826700707,Manual,Hyderabad,Grey,1,Individual,1197.0,3765.0,1660.0,1520.0,5.0,43.0,81.0,6000.0,-0.451063829787234,4000.0,True,False,False,False,False,False,False,True,False
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],15.815638428242373,0.9705882352941176,8.853808274977197,Automatic,Mumbai,Grey,1,Individual,1950.0,5063.0,1860.0,1494.0,5.0,80.0,192.0,3800.0,0.7659574468085106,1600.0,False,True,False,True,False,False,False,False,False
Mercedes-Benz,S-Class S 500,14.444119750719839,0.6764705882352942,11.184435286790631,Automatic,Mumbai,Silver,1,Individual,4663.0,5246.0,1899.0,1494.0,4.0,80.0,453.0,5250.0,2.0425531914893615,1800.0,False,True,False,False,False,False,False,True,False
Mercedes-Benz,C-Class 220 CDI Sport,13.910821646859095,0.7058823529411765,11.19822841866684,Automatic,Kanpur,White,1,Individual,,,,,,,,,,,False,True,False,True,False,False,False,False,False
Honda,City 1.5 V MT,12.502470376049185,0.6470588235294118,11.19822841866684,Manual,Delhi,Silver,2,Individual,1497.0,4420.0,1695.0,1480.0,5.0,42.0,,,,,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Alto VXi (O),12.899222326086994,0.9117647058823529,9.99884318585288,Manual,Ludhiana,White,1,Individual,998.0,3545.0,1490.0,1475.0,5.0,35.0,67.0,6000.0,-0.5531914893617021,3500.0,True,False,False,False,False,False,False,True,False
Ford,Endeavour Sport 2.0 4x4 AT,15.226497775576945,0.9705882352941176,9.852246888342531,Automatic,Hyderabad,White,1,Individual,1996.0,4903.0,1869.0,1837.0,7.0,80.0,168.0,3500.0,0.851063829787234,2000.0,False,False,False,True,False,False,False,False,False
Skoda,Superb L&K TSI AT,14.669926311652166,0.8823529411764706,9.555418330069251,Automatic,Pune,Brown,1,Individual,1798.0,4861.0,1864.0,1483.0,5.0,66.0,177.0,5100.0,0.1276595744680851,1250.0,True,False,False,False,False,False,False,True,False
Hyundai,i10 Magna 1.2 Kappa2,12.506180941677357,0.7058823529411765,10.626217806887722,Manual,Mumbai,Silver,1,Individual,1197.0,3585.0,1595.0,1550.0,5.0,35.0,79.0,6000.0,31.485106382978724,4000.0,True,False,False,False,False,False,False,True,False
Hyundai,Santa Fe 2WD AT [2014-2017],13.976779556623864,0.7647058823529411,11.384398671280563,Automatic,Bangalore,White,2,Individual,2199.0,4690.0,1880.0,1690.0,7.0,64.0,194.0,3800.0,0.9234042553191489,1800.0,False,False,False,True,False,False,False,False,False
Toyota,Fortuner 2.8 4x2 MT [2016-2020],14.99416586199818,0.8823529411764706,12.06105265381003,Manual,Bangalore,White,1,Individual,2755.0,4795.0,1855.0,1835.0,7.0,80.0,174.0,3400.0,0.851063829787234,1600.0,False,True,False,True,False,False,False,False,False
BMW,3-Series 320d Luxury Line [2014-2016],14.557448378884015,0.7647058823529411,11.542493975902508,Automatic,Lucknow,Black,2,Individual,1995.0,4624.0,2031.0,1429.0,5.0,,184.0,4000.0,0.6808510638297872,1750.0,False,True,False,True,False,False,False,False,False
Lexus,ES 300h Exquisite [2020-2021],15.46416937585933,0.9411764705882353,9.546884034617925,Automatic,Delhi,Blue,1,Individual,2487.0,4975.0,1865.0,1445.0,5.0,50.0,176.0,5700.0,0.00425531914893617,3600.0,True,False,False,False,False,True,False,False,False
Skoda,Superb Style TSI AT,14.316286451937186,0.8529411764705882,10.867787191096594,Automatic,Mumbai,Black,1,Individual,1798.0,4861.0,1864.0,1483.0,5.0,66.0,177.0,5100.0,0.1276595744680851,1250.0,True,False,False,False,False,False,False,True,False
Toyota,Corolla Altis VL AT Petrol,14.328334783195153,0.9117647058823529,10.571342565808699,Automatic,Ahmedabad,Brown,2,Individual,1798.0,4620.0,1775.0,1475.0,5.0,55.0,138.0,6400.0,-0.2,4000.0,True,False,False,False,False,False,False,True,False
Hyundai,Venue SX 1.4 CRDi,13.976779556623864,0.9705882352941176,10.533615057927772,Manual,Nashik,White,1,Individual,1396.0,3995.0,1770.0,1605.0,5.0,45.0,89.0,4000.0,0.0,1500.0,True,False,False,True,False,False,False,False,False
