Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM
Honda,City VX,13.217675375388819,0.7941176470588235,10.691967639914864,Petrol,Manual,Kolkata,Grey,First,Individual,-0.31803491833875963,FWD,4440.0,1695.0,1495.0,0.5,40.0,117.0,6600.0,145.0,4600.0
Hyundai,Verna Fluidic 1.6 VTVT SX Opt,12.847929163278053,0.7058823529411765,10.87806606028079,Petrol,Manual,Mumbai,Grey,First,Corporate,-0.17532794932916224,FWD,4370.0,1700.0,1475.0,0.5,43.0,121.0,6300.0,158.0,4200.0
Renault,Kwid 1.0 RXT [2016-2019],12.487488878546145,0.8235294117647058,11.711784520403112,Petrol,Manual,Coimbatore,Red,First,Individual,-1.074078222240669,FWD,3679.0,1579.0,1478.0,0.5,28.0,67.0,5500.0,91.0,4250.0
BMW,X5 xDrive30d xLine,15.931766193248746,0.9411764705882353,10.275085591132715,Diesel,Automatic,Delhi,Blue,First,Individual,1.9531313118565348,AWD,4922.0,2004.0,1745.0,0.5,80.0,262.0,4000.0,620.0,1500.0
Mercedes-Benz,GLE 250 d,15.56904898753229,0.9117647058823529,10.950824090522445,Diesel,Automatic,Dehradun,Black,First,Individual,0.6626959537910266,AWD,4819.0,2141.0,1796.0,0.5,93.0,201.0,3800.0,500.0,1600.0
Toyota,Innova 2.4 ZX 7 STR [2016-2020],14.360738188157574,0.8235294117647058,11.884495917930655,Diesel,Manual,Lucknow,White,First,Individual,1.0422357649867644,RWD,4735.0,1830.0,1795.0,0.8333333333333334,55.0,148.0,3400.0,343.0,1400.0
Honda,City VX CVT,13.560619598657233,0.8235294117647058,10.645448706505872,Petrol,Automatic,Mumbai,Brown,First,Individual,-0.31803491833875963,FWD,4440.0,1695.0,1495.0,0.5,40.0,117.0,6600.0,145.0,4600.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],13.091904169919621,0.8823529411764706,10.91911670358958,Petrol,Manual,Mumbai,White,First,Individual,-0.7734826917736448,FWD,3765.0,1660.0,1520.0,0.5,43.0,81.0,6000.0,114.0,4000.0
Mahindra,Scorpio S3 2WD 7 STR,13.92973259411456,0.9117647058823529,10.545367754151743,Diesel,Manual,Patna,White,First,Individual,1.239596466808548,RWD,4456.0,1820.0,1930.0,0.8333333333333334,60.0,75.0,3200.0,200.0,1400.0
Hyundai,i10 Sportz 1.2 Kappa2,12.524530013005734,0.6764705882352942,10.645448706505872,Petrol,Manual,Pune,Grey,First,Individual,-0.7734826917736448,FWD,3585.0,1595.0,1550.0,0.5,35.0,79.0,6000.0,7619.0,4000.0
